"","diet_analysis_id","world_country_description","wolf_population_code","wolf_subspecies_code","study_area","pack","latitude","longitude","source_code","analytical_method_code","identification_method_code","temporal_scale_code","derived_diet","sample_size","surface_area","sampling_period","time_series","spatial_effort","temporal_effort","total_effort","responsible","moose_alces.alces","blackbuck_antilope.cervicapra","american.bison_bison.bison","european.bison_bison.bonasus","yak_bos.grunniens","cattle_bos.taurus","nilgai_boselaphus.tragocamelus","buffalo_bubalus.bubalis","camel_camelus.ferus","dog_canis.familiaris","wolf_canis.lupus","wild.goat_capra.aegagrus","goat_capra.aegagrus.hircus","markhor_capra.falconeri","alpine.ibex_capra.ibex","siberian.ibex_capra.sibirica","roe.deer_capreolus.capreolus","carnivorae_carnivorae","elk_cervus.elaphus.canadensis","red.deer_cervus.elaphus.elaphus","sika.deer_cervus.nippon","fallow.deer_dama.dama","donkey_equus.africanus.asinus","horse_equus.ferus.caballus","przewalski.horse_equus.ferus.przewalskii","onager_equus.hemionus","cat_felis.catus","chinkara_gazella.bennettii","goitered.gazelle_gazella.subgutturosa","crested.porcupine_hystrix.cristata","badger_meles.meles","musk.deer_moschus.sp","raccoon.dog_nyctereutes.procyonoides","mule.deer_odocoileus.hemionus","black.tailed.deer_odocoileus.hemionus.columbianus","white.tailed.deer_odocoileus.virginianus","mountain.goat_oreamnos.americanus","muskox_ovibos.moschatus","argali_ovis.ammon","sheep_ovis.aries","bighorn_ovis.canadensis","dall.sheep_ovis.dalli","snow.sheep_ovis.nivicola","mouflon_ovis.orientalis","urial_ovis.orientalis.vignei","mongolian.gazelle_procapra.gutturosa","przewalski.gazelle_procapra.przewalskii","blue.sheep_pseudois.nayaur","wild.reindeer_rangifer.tarandus","chamois_rupicapra.rupicapra","saiga_saiga.tatarica","wild.boar_sus.scrofa","pig_sus.scrofa.domesticus","brown.bear_ursus.arctos","red.fox_vulpes.vulpes","wild.artiodactyla_wild.artiodactyla","wild.bovidae_wild.bovidae","bird_aves","castor.sp_castor.sp","cervidae_cervidae","domestic.ungulata_domestic.ungulata","fish_fish","garbage_garbage","lagomorpha_lagomorpha","marmota.sp_marmota.sp","mesomammals_mesomammals","micromammals_micromammals","microrodents_microrodents","other_other","other.domestic.ungulata_other.domestic.ungulata","semiaquatic.rodentia_semiaquatic.rodentia","undefined.item_undefined.item","vegetable.fruit_vegetable.fruit"
"12",12,"Finland","karelian","Canis lupus lupus","Kainuu",NA,64.25,29.5,"excrement","%FO (item)","visual","warm season",NA,58,3300,"Apr1998-Aug1999",1,0.0175757575757576,58,NA,"Andrea Gazzola",40.9,NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2,NA,NA,NA,NA,NA,4.5,NA,NA,3,0,NA,NA,NA,NA,3,NA,NA,NA,6.1,10.6,0,NA,NA,1.5
"13",13,"Finland","karelian","Canis lupus lupus","Kainuu",NA,64.25,29.5,"excrement","%Vm","visual","warm season",NA,58,3300,"Apr1998-Aug1999",1,0.0175757575757576,58,NA,"Andrea Gazzola",75.8,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1,NA,NA,NA,NA,NA,1.7,NA,NA,0,0,NA,NA,NA,NA,0.7,NA,NA,NA,0.1,3.9,0,NA,NA,0
"14",14,"Finland","karelian","Canis lupus lupus","Kainuu",NA,64.25,29.5,"excrement","%FO (item)","visual","cold season",NA,54,3300,"Apr1998-Aug1999",1,0.0163636363636364,54,NA,"Andrea Gazzola",43.5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.9,NA,NA,NA,NA,NA,0,NA,NA,3.2,1.6,NA,NA,NA,NA,4.8,NA,NA,NA,1.6,1.6,0,NA,NA,1.6
"15",15,"Finland","karelian","Canis lupus lupus","Kainuu",NA,64.25,29.5,"excrement","%Vm","visual","cold season",NA,54,3300,"Apr1998-Aug1999",1,0.0163636363636364,54,NA,"Andrea Gazzola",69.3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.3,NA,NA,NA,NA,NA,0,NA,NA,0,0.5,NA,NA,NA,NA,0.8,NA,NA,NA,0,0.1,0,NA,NA,0
"16",16,"Finland","karelian","Canis lupus lupus","the province of Kainuu","pack 1",64.25,29.5,"excrement","%FO (item)","visual","year",NA,166,8000,"1998-2000",3,0.02075,55.3333333333333,NA,"Andrea Gazzola",55.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7,NA,NA,NA,NA
"17",17,"Finland","karelian","Canis lupus lupus","the province of Kainuu","pack 2",64.25,29.5,"excrement","%FO (item)","visual","year",NA,134,8000,"1998-2000",3,0.01675,44.6666666666667,NA,"Andrea Gazzola",39.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.6,NA,NA,NA,NA
"18",18,"Finland","karelian","Canis lupus lupus","the province of Kainuu","pack 3",64.25,29.5,"excrement","%FO (item)","visual","year",NA,167,8000,"1998-2000",3,0.020875,55.6666666666667,NA,"Andrea Gazzola",62.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7,NA,NA,NA,NA
"19",19,"Finland","karelian","Canis lupus lupus","the province of Kainuu","pack 1",64.25,29.5,"excrement","%Vm","visual","year",NA,166,8000,"1998-2000",3,0.02075,55.3333333333333,NA,"Andrea Gazzola",76.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA
"20",20,"Finland","karelian","Canis lupus lupus","the province of Kainuu","pack 2",64.25,29.5,"excrement","%Vm","visual","year",NA,134,8000,"1998-2000",3,0.01675,44.6666666666667,NA,"Andrea Gazzola",69.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA
"21",21,"Finland","karelian","Canis lupus lupus","the province of Kainuu","pack 3",64.25,29.5,"excrement","%Vm","visual","year",NA,167,8000,"1998-2000",3,0.020875,55.6666666666667,NA,"Andrea Gazzola",80.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA
"22",22,"Finland","karelian","Canis lupus lupus","north Karelia",NA,63,31,"excrement","%FO (item)","visual","warm season",NA,156,1300,"Jan1997-Nov1997",1,0.12,156,NA,"Andrea Gazzola",58,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,6,2,NA,NA,NA,NA,19,NA,NA,NA,2,1,NA,NA,3,3
"23",23,"Finland","karelian","Canis lupus lupus","north Karelia",NA,63,31,"excrement","%Vm","visual","warm season",NA,156,1300,"Jan1997-Nov1997",1,0.12,156,NA,"Andrea Gazzola",88,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,0,1,NA,NA,NA,NA,6,NA,NA,NA,0,0,NA,NA,0,0
"24",24,"Finland","karelian","Canis lupus lupus","north Karelia",NA,63,31,"excrement","%FO (item)","visual","cold season",NA,104,1300,"Jan1997-Nov1997",1,0.08,104,NA,"Andrea Gazzola",86,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,0,NA,NA,NA,NA,7,NA,NA,NA,1,0,NA,NA,2,1
"25",25,"Finland","karelian","Canis lupus lupus","north Karelia",NA,63,31,"excrement","%Vm","visual","cold season",NA,104,1300,"Jan1997-Nov1997",1,0.08,104,NA,"Andrea Gazzola",96,NA,NA,NA,NA,3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,0,0,NA,NA,0,0
"26",26,"Estonia","baltic","Canis lupus lupus","Alam-Pedja Nature Reserve",NA,58.473889,26.169722,"excrement","%FO (scat)","visual","cold season",NA,119,260,"Oct1999-Apr2001",2,0.457692307692308,59.5,NA,"Andrea Gazzola",30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9747899159664,NA,NA,0.840336134453782,NA,NA,NA,3.36134453781513,NA,NA,NA,NA,7.56302521008403,NA,NA,NA,6.72,NA,NA,NA,NA,NA
"27",27,"Estonia","baltic","Canis lupus lupus","Middle and Southeastern Estonia",NA,58.473889,26.169722,"excrement","%FO (item)","visual","cold season",NA,518,12000,"1996-1997",2,0.0431666666666667,259,NA,"Andrea Gazzola",11.8,NA,NA,NA,NA,NA,NA,NA,NA,1.5,0.8,NA,NA,NA,NA,NA,50.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,NA,NA,0.4,NA,NA,0.4,0.2,0,NA,NA,NA,5.8,NA,0.2,NA,10.2,0.4,NA,NA,NA,NA
"28",28,"Estonia","baltic","Canis lupus lupus","Middle and Southeastern Estonia",NA,58.473889,26.169722,"excrement","%Vm","visual","cold season",NA,518,12000,"1996-1997",2,0.0431666666666667,259,NA,"Andrea Gazzola",62.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,"Estonia","baltic","Canis lupus lupus","Middle and Southeastern Estonia",NA,58.473889,26.169722,"excrement","%FO (item)","visual","summer",NA,88,12000,"1996-1997",2,0.00733333333333333,44,NA,"Andrea Gazzola",1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,15,NA,NA,NA,25,NA,NA,NA,NA,NA
"30",30,"Estonia","baltic","Canis lupus lupus","Middle and Southeastern Estonia",NA,58.473889,26.169722,"excrement","%Vm","visual","summer",NA,88,12000,"1996-1997",2,0.00733333333333333,44,NA,"Andrea Gazzola",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,"Latvia","baltic","Canis lupus lupus","Slitere National Park, Kemeri National Park, and Teièi Nature Reserve",NA,57.65,22.45,"excrement","%FO (scat)","visual","warm season",NA,64,NA,"Jan1997-Oct2001",5,NA,12.8,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,4.1,18.8,49.4,2.9,NA,NA,0.4,NA,NA,NA,10.6,3.2,NA,NA,NA,10.6
"32",32,"Latvia","baltic","Canis lupus lupus","Slitere National Park, Kemeri National Park, and Teièi Nature Reserve",NA,57.65,22.45,"excrement","%FO (scat)","visual","cold season",NA,238,NA,"Jan1997-Oct2001",5,NA,47.6,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9,NA,NA,NA,NA,NA,0.8,3.9,51.2,9.4,NA,NA,0.8,NA,NA,NA,3.2,1.6,NA,NA,NA,2.4
"33",33,"Latvia","baltic","Canis lupus lupus","Slitere National Park, Kemeri National Park, and Teièi Nature Reserve",NA,57.65,22.45,"excrement","%Vm","visual","warm season",NA,64,NA,"Jan1997-Oct2001",5,NA,12.8,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.1,NA,NA,NA,0,NA,0,3.1,56.8,4.4,NA,NA,0,NA,0,NA,1.1,1.1,NA,NA,NA,0.1
"34",34,"Latvia","baltic","Canis lupus lupus","Slitere National Park, Kemeri National Park, and Teièi Nature Reserve",NA,57.65,22.45,"excrement","%Vm","visual","cold season",NA,238,NA,"Jan1997-Oct2001",5,NA,47.6,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3,NA,NA,NA,0.3,NA,0.2,12.6,62.2,2.3,NA,NA,0.1,NA,0.1,NA,2,0.5,NA,NA,NA,0.2
"35",35,"Lithuania","baltic","Canis lupus lupus","Lithuania",NA,55.3028,26.0325,"excrement","%FO (scat)","visual","cold season",NA,94,NA,"2004-2012",9,NA,10.4444444444444,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.3,NA,NA,NA,NA,NA,0,15.9,52,NA,NA,0,0,NA,NA,NA,1.2,0,0,NA,NA,2.4
