"","diet_analysis_id","world_country_description","wolf_population_description","wolf_subspecies_description","study_area","pack","latitude","longitude","source_id","analytical_method_description","identification_method_description","temporal_scale_description","derived_diet","sample_size","surface_area","sampling_period","time_series","spatial_effort","temporal_effort","total_effort","moose_alces.alces","blackbuck_antilope.cervicapra","american.bison_bison.bison","european.bison_bison.bonasus","yak_bos.grunniens","cattle_bos.taurus","nilgai_boselaphus.tragocamelus","buffalo_bubalus.bubalis","camel_camelus.ferus","dog_canis.familiaris","wolf_canis.lupus","wild.goat_capra.aegagrus","goat_capra.aegagrus.hircus","markhor_capra.falconeri","alpine.ibex_capra.ibex","siberian.ibex_capra.sibirica","roe.deer_capreolus.capreolus","carnivorae_carnivorae","elk_cervus.elaphus.canadensis","red.deer_cervus.elaphus.elaphus","sika.deer_cervus.nippon","fallow.deer_dama.dama","donkey_equus.africanus.asinus","horse_equus.ferus.caballus","przewalski.horse_equus.ferus.przewalskii","onager_equus.hemionus","cat_felis.catus","chinkara_gazella.bennettii","goitered.gazelle_gazella.subgutturosa","crested.porcupine_hystrix.cristata","badger_meles.meles","musk.deer_moschus.sp","raccoon.dog_nyctereutes.procyonoides","mule.deer_odocoileus.hemionus","black.tailed.deer_odocoileus.hemionus.columbianus","white.tailed.deer_odocoileus.virginianus","mountain.goat_oreamnos.americanus","muskox_ovibos.moschatus","argali_ovis.ammon","sheep_ovis.aries","bighorn_ovis.canadensis","dall.sheep_ovis.dalli","snow.sheep_ovis.nivicola","mouflon_ovis.orientalis","urial_ovis.orientalis.vignei","mongolian.gazelle_procapra.gutturosa","przewalski.gazelle_procapra.przewalskii","blue.sheep_pseudois.nayaur","wild.reindeer_rangifer.tarandus","chamois_rupicapra.rupicapra","saiga_saiga.tatarica","wild.boar_sus.scrofa","pig_sus.scrofa.domesticus","brown.bear_ursus.arctos","red.fox_vulpes.vulpes","wild.artiodactyla_wild.artiodactyla","wild.bovidae_wild.bovidae","bird","castor.sp","cervidae","domestic.ungulata","fish","garbage","lagomorpha","marmota.sp","mesomammals","micromammals","microrodents","other","other.domestic.ungulata","semiaquatic.rodentia","undefined.item","vegetable.fruit"
"11",11,"Finland","Karelian (FIN)","Canis lupus lupus","Kainuu",NA,64.25,29.5,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"year",NA,120,3300,"Apr1998-Aug1999",1,0.0363636363636364,120,NA,74.1,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,"Finland","Karelian (FIN)","Canis lupus lupus","Kainuu",NA,64.25,29.5,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"warm season",NA,58,3300,"Apr1998-Aug1999",1,0.0175757575757576,58,NA,40.9,NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"Finland","Karelian (FIN)","Canis lupus lupus","Kainuu",NA,64.25,29.5,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"warm season",NA,58,3300,"Apr1998-Aug1999",1,0.0175757575757576,58,NA,75.8,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"Finland","Karelian (FIN)","Canis lupus lupus","Kainuu",NA,64.25,29.5,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"cold season",NA,54,3300,"Apr1998-Aug1999",1,0.0163636363636364,54,NA,43.5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.9,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,"Finland","Karelian (FIN)","Canis lupus lupus","Kainuu",NA,64.25,29.5,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"cold season",NA,54,3300,"Apr1998-Aug1999",1,0.0163636363636364,54,NA,69.3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,"Finland","Karelian (FIN)","Canis lupus lupus","the province of Kainuu","pack 1",64.25,29.5,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"year",NA,166,8000,"1998-2000",3,0.02075,55.3333333333333,NA,55.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,"Finland","Karelian (FIN)","Canis lupus lupus","the province of Kainuu","pack 2",64.25,29.5,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"year",NA,134,8000,"1998-2000",3,0.01675,44.6666666666667,NA,39.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,"Finland","Karelian (FIN)","Canis lupus lupus","the province of Kainuu","pack 3",64.25,29.5,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"year",NA,167,8000,"1998-2000",3,0.020875,55.6666666666667,NA,62.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,"Finland","Karelian (FIN)","Canis lupus lupus","the province of Kainuu","pack 1",64.25,29.5,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"year",NA,166,8000,"1998-2000",3,0.02075,55.3333333333333,NA,76.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"Finland","Karelian (FIN)","Canis lupus lupus","the province of Kainuu","pack 2",64.25,29.5,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"year",NA,134,8000,"1998-2000",3,0.01675,44.6666666666667,NA,69.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,"Finland","Karelian (FIN)","Canis lupus lupus","the province of Kainuu","pack 3",64.25,29.5,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"year",NA,167,8000,"1998-2000",3,0.020875,55.6666666666667,NA,80.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,"Finland","Karelian (FIN)","Canis lupus lupus","north Karelia",NA,63,31,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"warm season",NA,156,1300,"Jan1997-Nov1997",1,0.12,156,NA,58,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,"Finland","Karelian (FIN)","Canis lupus lupus","north Karelia",NA,63,31,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"warm season",NA,156,1300,"Jan1997-Nov1997",1,0.12,156,NA,88,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,"Finland","Karelian (FIN)","Canis lupus lupus","north Karelia",NA,63,31,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"cold season",NA,104,1300,"Jan1997-Nov1997",1,0.08,104,NA,86,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,"Finland","Karelian (FIN)","Canis lupus lupus","north Karelia",NA,63,31,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"cold season",NA,104,1300,"Jan1997-Nov1997",1,0.08,104,NA,96,NA,NA,NA,NA,3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,"Estonia","Baltic (EST; LVA; POL; LTU)","Canis lupus lupus","Alam-Pedja Nature Reserve",NA,58.473889,26.169722,1,"%FO (scat) - percentage of scats containing a particular food item (total sum ≠ 100)",NA,"cold season",NA,119,260,"Oct1999-Apr2001",2,0.457692307692308,59.5,NA,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9747899159664,NA,NA,0.840336134453782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,"Estonia","Baltic (EST; LVA; POL; LTU)","Canis lupus lupus","Middle and Southeastern Estonia",NA,58.473889,26.169722,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"cold season",NA,518,12000,"1996-1997",2,0.0431666666666667,259,NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA,1.5,0.8,NA,NA,NA,NA,NA,50.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,"Estonia","Baltic (EST; LVA; POL; LTU)","Canis lupus lupus","Middle and Southeastern Estonia",NA,58.473889,26.169722,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"cold season",NA,518,12000,"1996-1997",2,0.0431666666666667,259,NA,62.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,"Estonia","Baltic (EST; LVA; POL; LTU)","Canis lupus lupus","Middle and Southeastern Estonia",NA,58.473889,26.169722,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"summer",NA,88,12000,"1996-1997",2,0.00733333333333333,44,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,"Estonia","Baltic (EST; LVA; POL; LTU)","Canis lupus lupus","Middle and Southeastern Estonia",NA,58.473889,26.169722,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"summer",NA,88,12000,"1996-1997",2,0.00733333333333333,44,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,"Latvia","Baltic (EST; LVA; POL; LTU)","Canis lupus lupus","Slitere National Park, Kemeri National Park, and Teièi Nature Reserve",NA,57.65,22.45,1,"%FO (scat) - percentage of scats containing a particular food item (total sum ≠ 100)",NA,"warm season",NA,64,NA,"Jan1997-Oct2001",5,NA,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,"Latvia","Baltic (EST; LVA; POL; LTU)","Canis lupus lupus","Slitere National Park, Kemeri National Park, and Teièi Nature Reserve",NA,57.65,22.45,1,"%FO (scat) - percentage of scats containing a particular food item (total sum ≠ 100)",NA,"cold season",NA,238,NA,"Jan1997-Oct2001",5,NA,47.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,"Latvia","Baltic (EST; LVA; POL; LTU)","Canis lupus lupus","Slitere National Park, Kemeri National Park, and Teièi Nature Reserve",NA,57.65,22.45,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"warm season",NA,64,NA,"Jan1997-Oct2001",5,NA,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,"Latvia","Baltic (EST; LVA; POL; LTU)","Canis lupus lupus","Slitere National Park, Kemeri National Park, and Teièi Nature Reserve",NA,57.65,22.45,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"cold season",NA,238,NA,"Jan1997-Oct2001",5,NA,47.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
